Food Name,region,diet_type,ingredients,calories,carbs,fat,protein
Kaju Katli,Maharashtra,Veg,Nuts,500,60,25,40
Gulab Jamun,Maharashtra,Veg,Dairy,450,60,20,50
Vegetable Pulav,Maharashtra,Veg,None,400,60,15,10
Onion Pakoda,Maharashtra,Veg,Gluten,350,45,18,8
Rajma Chawal,Maharashtra,Veg,None,450,60,15,12
Amti,Maharashtra,Veg,None,300,40,12,8
Poha,Maharashtra,Veg,None,300,50,10,5
Samosa,Maharashtra,Veg,Gluten,400,50,18,12
Bhendi Masala,Maharashtra,Veg,None,250,30,10,8
Dahi Kebab,Maharashtra,Veg,Dairy,350,20,12,10
Alu Vadi,Maharashtra,Veg,None,300,50,12,7
Batata Wada,Maharashtra,Veg,Gluten,350,45,20,7
Maharashtrian Thali,Maharashtra,Veg,None,600,80,25,20
Chappal,Maharashtra,Veg,None,250,35,8,6
Dosa,Maharashtra,Veg,Gluten,250,35,8,5
Vegetable Khichdi,Maharashtra,Veg,None,400,60,12,10
Khandvi,Maharashtra,Veg,Dairy,250,30,8,5
Sukha Bhel,Maharashtra,Veg,None,300,55,12,10
Dal Khichdi,Maharashtra,Veg,None,350,55,15,10
Chole Masala,Maharashtra,Veg,None,400,60,15,12
Poha,Madhya Pradesh,veg,none,220,30,8,5
Bhutte Ka Kees,Madhya Pradesh,veg,dairy,250,40,15,10
Murg Malai Tikka,Madhya Pradesh,non-veg,dairy,300,10,25,20
Daal Bafla,Madhya Pradesh,veg,none,350,50,10,15
Rajma Pulao,Madhya Pradesh,veg,none,280,45,10,10
Chana Dal,Madhya Pradesh,veg,none,220,30,8,10
Chole Biryani,Madhya Pradesh,veg,none,320,50,15,12
Methi Thepla,Madhya Pradesh,veg,gluten,230,35,12,5
Paneer Korma,Madhya Pradesh,veg,dairy,320,20,25,15
Methi Malai Chicken,Madhya Pradesh,non-veg,dairy,350,20,22,25
Gatta Curry,Madhya Pradesh,veg,none,350,40,15,12
Palak Paneer,Madhya Pradesh,veg,dairy,300,20,18,10
Murg Tikka,Madhya Pradesh,non-veg,none,300,15,25,20
Chole Chaat,Madhya Pradesh,veg,gluten,270,35,15,10
Rajma Tikki,Madhya Pradesh,veg,gluten,250,40,15,10
Chana Samosa,Madhya Pradesh,veg,gluten,220,30,12,7
Daal Tadka,Madhya Pradesh,veg,none,250,30,10,12
Rajma Kachori,Madhya Pradesh,veg,gluten,250,40,15,10
Palak Chole,Madhya Pradesh,veg,none,250,35,10,12
Kachori Sabzi,Madhya Pradesh,veg,gluten,300,40,15,8
Paneer Tikka,Madhya Pradesh,veg,dairy,280,10,25,15
Aloo Methi Paratha,Madhya Pradesh,veg,gluten,270,40,12,8
Methi Thepla,Madhya Pradesh,veg,gluten,220,30,10,5
Tuna Curry,Lakshadweep,Non-Veg,"Fish, Coconut",350,20,18,30
Masoon Pollichathu,Lakshadweep,Non-Veg,"Fish, Coconut, Spices",400,25,22,32
Parotta with Chicken Curry,Lakshadweep,Non-Veg,"Gluten, Dairy",550,60,30,25
Fried Fish,Lakshadweep,Non-Veg,"Fish, Spices",450,10,35,30
Coconut Rice,Lakshadweep,Veg,Coconut,300,45,12,6
Tuna Biryani,Lakshadweep,Non-Veg,"Fish, Gluten",500,60,20,30
Octopus Fry,Lakshadweep,Non-Veg,"Seafood, Spices",400,10,30,35
Prawn Curry,Lakshadweep,Non-Veg,Shellfish,350,15,20,25
Breadfruit Curry,Lakshadweep,Veg,Coconut,280,50,10,5
Tapioca and Fish Curry,Lakshadweep,Non-Veg,"Fish, Tapioca",450,50,15,35
Malabar Chicken Curry,Lakshadweep,Non-Veg,"Chicken, Coconut",500,30,25,40
Coconut Ladoo,Lakshadweep,Veg,"Coconut, Dairy",250,40,12,5
Banana Fry,Lakshadweep,Veg,"Banana, Gluten",200,45,10,3
Fish Roe Fry,Lakshadweep,Non-Veg,Fish,420,15,35,28
Crab Curry,Lakshadweep,Non-Veg,"Shellfish, Coconut",480,30,25,40
Coconut Pulao,Lakshadweep,Veg,Coconut,300,45,15,6
Breadfruit Chips,Lakshadweep,Veg,Breadfruit,150,30,10,2
Tapioca Fry,Lakshadweep,Veg,Tapioca,200,50,15,3
Fish Cutlet,Lakshadweep,Non-Veg,"Fish, Gluten",320,20,18,20
Coconut Barfi,Lakshadweep,Veg,"Coconut, Dairy",270,35,15,6
Prawn Fry,Lakshadweep,Non-Veg,Shellfish,370,10,30,25
Spicy Fish Curry,Lakshadweep,Non-Veg,"Fish, Spices",360,20,20,30
Tuna Fry,Lakshadweep,Non-Veg,Fish,400,10,35,35
Chicken Stew,Lakshadweep,Non-Veg,"Chicken, Coconut",350,20,20,28
Squid Roast,Lakshadweep,Non-Veg,Seafood,380,15,25,35
Breadfruit Fry,Lakshadweep,Veg,Breadfruit,180,35,12,4
Chilly Fish,Lakshadweep,Non-Veg,"Fish, Spices",450,25,28,40
Kerala Parotta,Lakshadweep,Veg,Gluten,350,50,15,8
Coconut Milk Curry,Lakshadweep,Veg,Coconut,300,40,18,5
Tapioca with Chutney,Lakshadweep,Veg,Tapioca,250,55,10,4
Coconut Halwa,Lakshadweep,Veg,"Coconut, Dairy",350,60,15,5
Fish Biryani,Lakshadweep,Non-Veg,"Fish, Gluten",500,55,22,35
Seafood Stew,Lakshadweep,Non-Veg,Seafood,420,20,28,35
Fried Prawns,Lakshadweep,Non-Veg,Shellfish,390,10,32,25
Octopus Curry,Lakshadweep,Non-Veg,Seafood,370,25,20,35
Breadfruit Stew,Lakshadweep,Veg,Breadfruit,260,40,10,5
Fish Pickle,Lakshadweep,Non-Veg,Fish,150,10,5,15
Coconut Chutney,Lakshadweep,Veg,Coconut,100,5,8,1
Mutton Curry,Lakshadweep,Non-Veg,Mutton,550,20,35,45
Sweet Coconut Rice,Lakshadweep,Veg,Coconut,320,50,15,6
Banana Pudding,Lakshadweep,Veg,"Banana, Dairy",250,45,12,5
Clam Fry,Lakshadweep,Non-Veg,Shellfish,420,10,35,30
Tapioca and Prawn Curry,Lakshadweep,Non-Veg,"Shellfish, Tapioca",450,50,20,35
Egg Curry,Lakshadweep,Non-Veg,Eggs,350,20,25,20
Squid Fry,Lakshadweep,Non-Veg,Seafood,400,10,30,35
Breadfruit Pakora,Lakshadweep,Veg,"Breadfruit, Gluten",220,40,12,4
Prawn Roast,Lakshadweep,Non-Veg,Shellfish,390,15,30,25
Chicken Fry,Lakshadweep,Non-Veg,Chicken,450,10,35,30
Fish Soup,Lakshadweep,Non-Veg,Fish,200,10,10,20
Breadfruit Soup,Lakshadweep,Veg,Breadfruit,180,30,8,3
Coconut Banana Smoothie,Lakshadweep,Vegan,"Coconut, Banana",200,40,10,2
Fish Curry with Rice,Lakshadweep,Non-Veg,Fish,500,60,20,30
Tuna Fish Stew,Lakshadweep,Non-Veg,"Fish, Coconut",400,25,22,30
Crab Roast,Lakshadweep,Non-Veg,Shellfish,480,20,30,40
Thukpa,Ladakh,Non-Veg,Gluten,320,50,6,15
Skyu,Ladakh,Veg,Gluten,250,45,5,8
Chhurpi Soup,Ladakh,Veg,Dairy,210,30,7,10
Momos,Ladakh,Non-Veg,Gluten,290,35,9,12
Chhang (Barley Beer),Ladakh,Vegan,Gluten,180,20,0,1
Tingmo,Ladakh,Veg,Gluten,190,35,3,6
Khambir,Ladakh,Vegan,Gluten,250,40,6,7
Paba,Ladakh,Vegan,Gluten,220,35,4,8
Butter Tea,Ladakh,Veg,Dairy,150,5,12,2
Thenthuk,Ladakh,Non-Veg,Gluten,310,50,7,13
Chhutagi,Ladakh,Non-Veg,Gluten,280,45,5,10
Phirni,Ladakh,Veg,"Dairy, Nuts",210,35,4,6
Rgi Tsos,Ladakh,Vegan,None,260,40,6,9
Tapu,Ladakh,Vegan,Gluten,200,35,3,7
Gur Gur Cha,Ladakh,Veg,Dairy,130,4,10,1
Zan,Ladakh,Vegan,Gluten,240,35,5,7
Yak Meat Stew,Ladakh,Non-Veg,None,350,25,20,25
Paba with Tangtur,Ladakh,Vegan,Gluten,280,40,5,10
Kholak,Ladakh,Vegan,Gluten,230,30,5,8
Chhaang Paa,Ladakh,Vegan,Gluten,210,20,3,5
Tsampa,Ladakh,Vegan,Gluten,220,35,4,7
Shapta,Ladakh,Non-Veg,Gluten,360,40,12,18
Keu,Ladakh,Vegan,Gluten,240,35,6,9
Tagi Khambir,Ladakh,Vegan,Gluten,270,45,5,6
Gyathuk,Ladakh,Non-Veg,Gluten,320,50,7,15
Chhurpey,Ladakh,Veg,Dairy,210,30,7,10
Chilagi,Ladakh,Non-Veg,None,290,40,9,13
Ladakhi Pulao,Ladakh,Veg,Gluten,280,55,7,8
Chhutkur,Ladakh,Veg,Dairy,220,35,6,7
Mokthuk,Ladakh,Non-Veg,Gluten,310,45,7,13
Apricot Jam,Ladakh,Vegan,None,150,35,0,0
Ladakhi Green Tea,Ladakh,Vegan,None,2,0,0,0
Yarkhandi Pulao,Ladakh,Non-Veg,None,380,50,15,20
Sheer Yakhni,Ladakh,Non-Veg,Dairy,340,30,20,15
Chilak,Ladakh,Veg,Gluten,220,35,6,8
Ngampe,Ladakh,Vegan,Gluten,200,40,3,7
Khur-le,Ladakh,Vegan,Gluten,250,35,4,8
Gorduk,Ladakh,Non-Veg,None,360,50,15,20
Ladakhi Barley Cake,Ladakh,Vegan,Gluten,230,40,4,7
Yak Butter Tea,Ladakh,Veg,Dairy,140,5,12,2
Changthangi Tea,Ladakh,Veg,Dairy,120,4,8,1
Ba Phing,Ladakh,Vegan,Gluten,190,30,3,6
Ladakhi Dumplings,Ladakh,Non-Veg,Gluten,280,35,9,12
Yarkhandi Soup,Ladakh,Non-Veg,None,330,45,10,15
Buckwheat Bread,Ladakh,Vegan,Gluten,240,45,3,8
Dre-thuk,Ladakh,Non-Veg,Gluten,300,50,6,14
Kashur,Ladakh,Vegan,None,250,40,5,7
Bak-tso,Ladakh,Non-Veg,None,350,45,12,17
Sey Thukpa,Ladakh,Non-Veg,Gluten,310,50,7,13
Tse-lachang,Ladakh,Vegan,Gluten,230,40,5,7
Grain Soup,Ladakh,Vegan,Gluten,200,35,3,6
Himalayan Barley Pancake,Ladakh,Vegan,Gluten,240,45,4,7
Ladakhi Spinach Soup,Ladakh,Vegan,None,190,25,3,6
Butter Barley Soup,Ladakh,Veg,"Dairy, Gluten",220,30,10,8
Yak Cheese,Ladakh,Veg,Dairy,250,0,20,12
Ladakhi Lamb Stew,Ladakh,Non-Veg,None,340,40,15,20
Roasted Barley Flour,Ladakh,Vegan,Gluten,230,40,3,8
Shakhtu,Ladakh,Non-Veg,None,330,45,10,16
Spinach and Buckwheat Salad,Ladakh,Vegan,None,180,20,2,5
Ladakhi Stir Fry,Ladakh,Vegan,None,200,30,4,7
Barley Wine,Ladakh,Vegan,Gluten,180,20,0,1
Grilled Yak Meat,Ladakh,Non-Veg,None,370,15,25,30
Steamed Yak Dumplings,Ladakh,Non-Veg,Gluten,300,35,10,15
Fermented Turnip,Ladakh,Vegan,None,170,25,3,5
Ladakhi Radish Soup,Ladakh,Vegan,None,180,20,3,6
Yak Jerky,Ladakh,Non-Veg,None,260,5,20,30
Barley Millet Cake,Ladakh,Vegan,Gluten,230,40,4,7
Spinach Barley Porridge,Ladakh,Vegan,None,190,35,2,6
Boiled Barley,Ladakh,Vegan,Gluten,200,40,2,6
Yak Butter,Ladakh,Veg,Dairy,220,0,20,2
Ladakhi Garlic Soup,Ladakh,Vegan,None,170,20,3,6
Yarkhandi Spiced Rice,Ladakh,Non-Veg,None,320,50,10,15
Apricot Nut Pudding,Ladakh,Veg,"Nuts, Dairy",210,35,8,5
Goat Cheese,Ladakh,Veg,Dairy,240,0,20,14
Sour Yogurt,Ladakh,Veg,Dairy,150,12,5,8
Ladakhi Barley Gruel,Ladakh,Vegan,Gluten,230,40,3,7
Apricot Laddu,Ladakh,Vegan,Nuts,240,35,10,4
Yak Milk,Ladakh,Veg,Dairy,190,12,10,8
Barley Pilaf,Ladakh,Vegan,Gluten,220,45,4,6
Steamed Buckwheat Bread,Ladakh,Vegan,Gluten,230,45,3,8
Appam,Kerala,Veg,Gluten,250,40,5,6
Puttu,Kerala,Veg,Gluten,150,30,1,4
Idiyappam,Kerala,Veg,Gluten,200,35,2,5
Dosa,Kerala,Veg,Gluten,250,45,8,6
Sambar,Kerala,Veg,None,180,20,8,7
Avial,Kerala,Veg,None,220,25,10,8
Thoran,Kerala,Veg,None,180,15,9,6
Meen Curry,Kerala,Non-Veg,None,350,10,25,28
Fish Fry,Kerala,Non-Veg,None,400,8,30,25
Kappa,Kerala,Veg,None,300,70,2,4
Kadala Curry,Kerala,Veg,None,280,35,8,15
Nadan Chicken Curry,Kerala,Non-Veg,None,500,10,40,35
Kaalan,Kerala,Veg,Dairy,250,20,12,8
Pulissery,Kerala,Veg,Dairy,220,15,10,7
Chemeen Curry,Kerala,Non-Veg,None,400,12,25,30
Kerala Beef Curry,Kerala,Non-Veg,None,550,10,45,30
Vegetable Korma,Kerala,Veg,Dairy,300,25,15,10
Banana Chips,Kerala,Veg,None,350,50,18,2
Parippu Curry,Kerala,Veg,None,220,30,8,12
Fish Molee,Kerala,Non-Veg,Dairy,400,15,25,28
Chicken Roast,Kerala,Non-Veg,None,450,10,30,40
Vegetable Stew,Kerala,Veg,Dairy,200,20,10,8
Sambharam,Kerala,Veg,Dairy,100,5,2,1
Kichadi,Kerala,Veg,Dairy,210,15,12,8
Olan,Kerala,Veg,Dairy,190,20,8,7
Kuttanadan Duck Curry,Kerala,Non-Veg,None,500,12,40,35
Chettinad Chicken,Kerala,Non-Veg,None,450,10,35,40
Keralan Pork Curry,Kerala,Non-Veg,None,550,15,45,40
Rasam,Kerala,Veg,None,150,10,5,3
Kozhukatta,Kerala,Veg,Dairy,280,35,12,10
Prawn Masala,Kerala,Non-Veg,None,400,10,30,25
Pachadi,Kerala,Veg,Dairy,180,15,10,5
Chakka Varatti,Kerala,Veg,None,300,45,8,40
Fried Tapioca,Kerala,Veg,None,350,70,10,5
Vegetable Biriyani,Kerala,Veg,None,350,50,12,10
Chicken Biryani,Kerala,Non-Veg,None,500,60,20,35
Mutton Curry,Kerala,Non-Veg,None,600,15,40,35
Coconut Rice,Kerala,Veg,None,300,50,15,5
Kothu Parotta,Kerala,Non-Veg,None,500,60,25,20
Lemon Rice,Kerala,Veg,None,280,50,10,5
Mango Pickle,Kerala,Veg,None,150,20,5,5
Puttu and Kadala Curry,Kerala,Veg,None,400,65,8,12
Appam with Stew,Kerala,Veg,Dairy,350,60,10,12
Neyyappam,Kerala,Veg,Dairy,320,40,18,10
Prawn Curry,Kerala,Non-Veg,None,400,12,30,25
Vada,Kerala,Veg,None,350,45,20,5
Mutton Korma,Kerala,Non-Veg,Dairy,500,20,35,30
Chappathi,Kerala,Veg,Gluten,250,45,6,6
Prawn Masala,Kerala,Non-Veg,None,350,15,20,30
Fish Cutlet,Kerala,Non-Veg,None,300,20,18,22
Sadhya,Kerala,Veg,None,600,80,20,25
Vegetable Salad,Kerala,Veg,None,120,15,3,2
Ghee Rice,Kerala,Veg,Dairy,300,50,15,7
Chicken Stew,Kerala,Non-Veg,Dairy,400,20,25,35
Parotta,Kerala,Veg,Gluten,300,55,12,8
Prawn Roast,Kerala,Non-Veg,None,350,12,25,30
Vegetable Uthappam,Kerala,Veg,Gluten,250,50,10,8
Mutton Biryani,Kerala,Non-Veg,None,550,60,25,35
Fish Fry,Kerala,Non-Veg,None,400,10,30,25
Dosa with Sambar,Kerala,Veg,Gluten,350,50,10,8
Mango Curry,Kerala,Veg,None,200,25,8,6
Coconut Chutney,Kerala,Veg,Dairy,150,10,12,2
Pulao,Kerala,Veg,None,300,55,10,6
Pulav,Kerala,Veg,None,350,60,12,7
Kozhikode Biryani,Kerala,Non-Veg,None,500,65,20,30
Vegetable Pulao,Kerala,Veg,None,300,55,12,8
Rava Dosa,Kerala,Veg,Gluten,250,40,10,5
Idiyappam with Stew,Kerala,Veg,Dairy,300,35,8,7
Palada Payasam,Kerala,Veg,Dairy,300,50,10,20
Beef Fry,Kerala,Non-Veg,None,400,10,35,30
Fish Curry with Coconut Milk,Kerala,Non-Veg,Dairy,350,15,25,20
Vegetable Kootu,Kerala,Veg,Dairy,200,25,12,6
Vermicelli Payasam,Kerala,Veg,Dairy,300,60,12,20
Rava Kesari,Kerala,Veg,Dairy,350,55,10,25
Egg Curry,Kerala,Non-Veg,Dairy,350,15,20,20
Parippu,Kerala,Veg,None,200,30,10,8
Kappa and Fish Curry,Kerala,Non-Veg,None,400,70,15,20
Cheera Thoran,Kerala,Veg,None,180,15,8,5
Coconut Milk Stew,Kerala,Veg,Dairy,200,10,8,4
Prawn Salad,Kerala,Non-Veg,None,250,10,15,20
Chicken Vindaloo,Kerala,Non-Veg,None,500,15,30,35
Vegetable Curry,Kerala,Veg,None,220,25,10,8
Tapioca and Fish Curry,Kerala,Non-Veg,None,400,70,15,20
Pulao with Raita,Kerala,Veg,Dairy,350,60,12,10
Chicken Cutlet,Kerala,Non-Veg,None,300,15,20,25
Mutton Shami Kebab,Kerala,Non-Veg,None,400,10,25,30
Fish in Tamarind Sauce,Kerala,Non-Veg,None,350,15,20,25
Vegetable Sambar,Kerala,Veg,None,180,25,8,7
Mutton Rogan Josh,Kerala,Non-Veg,None,500,15,35,40
Nendran Banana Chips,Kerala,Veg,None,350,50,18,2
Beef Ularthiyathu,Kerala,Non-Veg,None,500,15,40,35
Kuttu Dosa,Kerala,Veg,Gluten,250,40,8,6
Chicken Kurma,Kerala,Non-Veg,Dairy,400,20,25,30
Mango Lassi,Kerala,Veg,Dairy,250,35,8,6
Fish Curry with Rice,Kerala,Non-Veg,None,500,70,20,25
Vegetable Soup,Kerala,Veg,None,100,10,2,3
Chicken Kabab,Kerala,Non-Veg,None,300,10,20,25
Mutton Biryani with Raita,Kerala,Non-Veg,Dairy,550,65,25,35
Vegetable Pakora,Kerala,Veg,None,300,35,15,6
Egg Roast,Kerala,Non-Veg,None,300,10,20,20
Prawn Soup,Kerala,Non-Veg,None,150,5,8,15
Vegetable Manchurian,Kerala,Veg,None,250,35,15,8
Beef Steak,Kerala,Non-Veg,None,400,5,30,25
Chicken Korma,Kerala,Non-Veg,Dairy,350,20,25,20
Mutton Nihari,Kerala,Non-Veg,None,500,20,35,30
Fish Biriyani,Kerala,Non-Veg,None,500,60,20,25
Vegetable Pappu,Kerala,Veg,None,250,30,10,8
Pulao with Vegetables,Kerala,Veg,None,300,50,12,8
Mutton Curry with Rice,Kerala,Non-Veg,None,550,60,25,30
Chicken Pasta,Kerala,Non-Veg,Dairy,400,55,20,15
Kachori,Kerala,Veg,Gluten,250,30,12,6
Beef Cutlet,Kerala,Non-Veg,None,300,15,20,25
Vegetable Biryani,Kerala,Veg,None,350,55,12,10
Tapioca with Coconut,Kerala,Veg,None,350,70,10,5
Beef Kabab,Kerala,Non-Veg,None,350,10,25,20
Chickpea Salad,Kerala,Veg,None,180,20,5,7
Chicken Masala,Kerala,Non-Veg,None,400,15,25,30
Vegetable Khichdi,Kerala,Veg,None,250,50,10,8
Fish Tikka,Kerala,Non-Veg,None,300,10,20,25
Egg Bhurji,Kerala,Non-Veg,None,300,10,20,20
Chicken Shawarma,Kerala,Non-Veg,None,400,30,20,15
Paneer Tikka,Kerala,Veg,Dairy,250,10,18,15
Chole Bhature,Kerala,Veg,Gluten,500,60,20,15
Ghee Roast,Kerala,Veg,Dairy,300,50,20,10
Beef Soup,Kerala,Non-Veg,None,150,10,8,12
Vegetable Upma,Kerala,Veg,Gluten,200,30,8,6
Keralan Prawn Curry,Kerala,Non-Veg,None,400,15,25,30
Mutton Seekh Kebab,Kerala,Non-Veg,None,400,15,30,25
Egg Curry with Rice,Kerala,Non-Veg,Dairy,400,20,25,20
Fish in Coconut Sauce,Kerala,Non-Veg,Dairy,350,15,20,25
Chicken Satay,Kerala,Non-Veg,None,300,10,20,25
Vegetable Patties,Kerala,Veg,None,250,35,10,8
Chicken Pulao,Kerala,Non-Veg,None,500,60,20,35
Kerala Kachori,Kerala,Veg,Gluten,250,30,12,6
Mutton Kofta Curry,Kerala,Non-Veg,Dairy,500,20,30,25
Vegetable Pulao,Kerala,Veg,None,300,55,12,8
Fish Masala,Kerala,Non-Veg,None,350,15,20,25
Beef Biryani,Kerala,Non-Veg,None,500,60,25,35
Chicken Biryani,Kerala,Non-Veg,None,500,60,25,35
Prawn Curry,Kerala,Non-Veg,None,350,15,20,25
Bisi Bele Bath,Karnataka,Veg,None,300,55,10,8
Rava Idli,Karnataka,Veg,Gluten,250,45,8,6
Masala Dosa,Karnataka,Veg,Gluten,400,60,15,10
Mysore Pak,Karnataka,Veg,Dairy,350,40,20,12
Dharwad Peda,Karnataka,Veg,Dairy,400,45,22,14
Uttapam,Karnataka,Veg,Gluten,300,50,12,8
Vada,Karnataka,Veg,Gluten,350,40,18,10
Ragi Mudde,Karnataka,Veg,None,250,45,3,8
Sambar,Karnataka,Veg,None,150,20,5,8
Puliyodarai,Karnataka,Veg,None,280,50,10,6
Chicken Biryani,Karnataka,Non-Veg,None,500,65,22,20
Mutton Curry,Karnataka,Non-Veg,None,600,25,40,30
Fish Fry,Karnataka,Non-Veg,None,450,20,30,15
Kori Rotti,Karnataka,Non-Veg,Gluten,400,55,20,18
Neer Dosa,Karnataka,Veg,Gluten,200,35,5,4
Chitranna,Karnataka,Veg,None,280,50,8,6
Kadabu,Karnataka,Veg,Gluten,350,60,15,10
Benne Dosa,Karnataka,Veg,Gluten,400,55,18,12
Puliogare,Karnataka,Veg,None,290,50,8,7
Kesaribath,Karnataka,Veg,Dairy,350,60,10,18
Maddur Vada,Karnataka,Veg,Gluten,320,50,15,8
Pesarattu,Karnataka,Veg,None,280,40,12,7
Rawa Kesari,Karnataka,Veg,Dairy,400,55,15,20
Kadai Chicken,Karnataka,Non-Veg,None,500,30,35,22
Mutton Kheema,Karnataka,Non-Veg,None,550,20,40,25
Fish Curry,Karnataka,Non-Veg,None,450,25,30,18
Chicken Kebab,Karnataka,Non-Veg,None,500,15,40,20
Mango Chutney,Karnataka,Veg,None,100,30,0,25
Aloo Curry,Karnataka,Veg,None,250,35,10,7
Rasam,Karnataka,Veg,None,120,15,3,6
Coconut Chutney,Karnataka,Veg,Dairy,150,10,12,2
Saggubiyyam Payasam,Karnataka,Veg,Dairy,300,40,8,20
Gobi Masala,Karnataka,Veg,None,270,30,10,8
Tamarind Rice,Karnataka,Veg,None,300,55,10,8
Curd Rice,Karnataka,Veg,Dairy,350,50,8,6
Rawa Idli,Karnataka,Veg,Gluten,250,45,8,6
Mysore Masala Dosa,Karnataka,Veg,Gluten,400,60,15,12
Kele (Banana) Pancake,Karnataka,Veg,None,350,45,8,15
Kootu,Karnataka,Veg,None,280,35,8,5
Samosa,Karnataka,Veg,Gluten,350,50,15,10
Chappati,Karnataka,Veg,Gluten,200,40,4,6
Bhath (Rice Dish),Karnataka,Veg,None,300,55,12,7
Vegetable Biryani,Karnataka,Veg,None,400,60,15,10
Chicken Curry,Karnataka,Non-Veg,None,500,25,35,20
Mutton Shorba,Karnataka,Non-Veg,None,450,20,30,15
Fish Tikka,Karnataka,Non-Veg,None,400,15,25,15
Rawa Dosa,Karnataka,Veg,Gluten,300,50,12,8
Ragi Rotti,Karnataka,Veg,None,250,45,4,8
Vegetable Korma,Karnataka,Veg,None,320,40,15,12
Beetroot Sabji,Karnataka,Veg,None,200,30,8,6
Kayi Chutney,Karnataka,Veg,None,100,10,9,3
Vegetable Sagu,Karnataka,Veg,None,280,40,12,8
Channa Masala,Karnataka,Veg,None,350,50,12,9
Kundapura Koli Saaru,Karnataka,Non-Veg,None,550,20,40,20
Masala Rice,Karnataka,Veg,None,300,55,10,7
Cabbage Palya,Karnataka,Veg,None,200,25,5,6
Bitter Gourd Fry,Karnataka,Veg,None,250,20,15,5
Rajma Curry,Karnataka,Veg,None,300,50,10,8
Gongura Pachadi,Karnataka,Veg,None,150,20,5,8
Kadale Manchurian,Karnataka,Veg,Gluten,350,55,12,15
Mango Rice,Karnataka,Veg,None,280,50,8,9
Methi Thepla,Karnataka,Veg,Gluten,300,45,10,8
Bhindi Masala,Karnataka,Veg,None,250,30,8,6
Coconut Rice,Karnataka,Veg,None,350,55,12,7
Pulao,Karnataka,Veg,None,320,50,10,8
Vegetable Soup,Karnataka,Veg,None,150,20,3,5
Rawa Upma,Karnataka,Veg,Gluten,300,45,8,6
Chole Bhature,Karnataka,Veg,Gluten,400,55,15,10
Ghee Rice,Karnataka,Veg,Dairy,350,60,10,15
Paratha,Karnataka,Veg,Gluten,300,55,12,8
Dosa,Karnataka,Veg,Gluten,280,50,10,6
Vangibath,Karnataka,Veg,None,300,55,12,8
Kachori,Karnataka,Veg,Gluten,350,55,15,10
Idli,Karnataka,Veg,Gluten,200,35,4,3
Lemon Rice,Karnataka,Veg,None,270,50,8,5
Huli (Sambar),Karnataka,Veg,None,150,25,5,7
Pesarattu Dosa,Karnataka,Veg,None,280,40,12,7
Curd Vada,Karnataka,Veg,Dairy,350,50,15,10
Masala Puri,Karnataka,Veg,Gluten,320,55,12,8
Bread Upma,Karnataka,Veg,Gluten,300,50,8,5
Pithla Bhakri,Karnataka,Veg,Gluten,350,60,15,10
Kundapura Chicken Curry,Karnataka,Non-Veg,None,500,30,40,20
Khara Bath,Karnataka,Veg,Gluten,250,40,8,5
Chutney,Karnataka,Veg,None,100,10,8,4
Mutton Biryani,Karnataka,Non-Veg,None,550,65,30,25
Vegetable Raita,Karnataka,Veg,Dairy,150,10,7,5
Bhindi Fry,Karnataka,Veg,None,250,30,8,6
Tomato Rice,Karnataka,Veg,None,300,50,10,8
Paneer Butter Masala,Karnataka,Veg,Dairy,400,40,25,15
Cucumber Salad,Karnataka,Veg,None,100,10,1,3
Rawa Idli Sambar,Karnataka,Veg,Gluten,300,50,8,6
Vegetable Stew,Karnataka,Veg,None,250,30,10,7
Pulao Rice,Karnataka,Veg,None,320,55,10,8
Sambar Rice,Karnataka,Veg,None,350,60,12,8
Kofta Curry,Karnataka,Veg,Dairy,350,40,15,12
Khichdi,Karnataka,Veg,None,250,40,6,8
Bisi Bele Bath with Curd,Karnataka,Veg,Dairy,350,55,10,8
Vegetable Kurma,Karnataka,Veg,None,280,40,12,8
Chana Sundal,Karnataka,Veg,None,220,35,6,5
Vegetable Chapati,Karnataka,Veg,Gluten,350,55,12,8
Rava Kesari,Karnataka,Veg,Dairy,400,55,15,20
Kashaya,Karnataka,Veg,None,50,10,0,5
Rice and Dal,Karnataka,Veg,None,350,60,10,7
Masala Khichdi,Karnataka,Veg,None,300,55,12,8
Vegetable Saagu,Karnataka,Veg,None,270,35,8,6
Kacchi Biryani,Karnataka,Non-Veg,None,600,65,25,20
Prawns Curry,Karnataka,Non-Veg,None,500,15,35,20
Chicken Korma,Karnataka,Non-Veg,None,550,20,40,22
Sundal,Karnataka,Veg,None,200,30,10,8
Egg Curry,Karnataka,Non-Veg,None,450,10,30,12
Lentil Soup,Karnataka,Veg,None,150,20,4,8
Puliyodarai Rice,Karnataka,Veg,None,290,55,10,7
Pesarattu Dosa,Karnataka,Veg,None,270,40,12,8
Sambar Rice with Curd,Karnataka,Veg,Dairy,350,60,12,8
Rice and Vegetable Curry,Karnataka,Veg,None,320,55,10,8
Chana Dal Curry,Karnataka,Veg,None,300,50,12,8
Corn Salad,Karnataka,Veg,None,150,25,2,6
Vegetable and Rice Soup,Karnataka,Veg,None,200,30,5,7
Dal Rice,Karnataka,Veg,None,350,55,10,8
Vegetable Pilaf,Karnataka,Veg,None,320,60,10,8
Aloo Palak,Karnataka,Veg,None,250,30,8,5
Bhindi Curry,Karnataka,Veg,None,270,35,8,7
Methi Paratha,Karnataka,Veg,Gluten,300,55,10,8
